prob_food_in_forest,prob_food_in_cropland,max_food_val_forest,max_food_val_cropland,percent_memory_elephant,forest_density,cropland_density,density_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,40.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,70.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,80.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,90.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.3,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.6,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.7,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.8,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.1,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.2,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.3,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.4,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.5,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.6,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.7,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.8,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.9,0.0,0.0,0.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.1,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.2,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.3,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.4,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.5,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.6,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.7,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.8,0.0,0.0,0.0
0.0,0.0,10.0,10.0,0.9,0.0,0.0,0.0
0.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0
0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,20.0,0.1,0.0,0.0,0.0
0.0,0.0,10.0,20.0,0.2,0.0,0.0,0.0
0.0,0.0,10.0,20.0,0.3,0.0,0.0,0.0
