targetID,row,col,reward,penalty
1,1,1,8.149678206765573,-2.3001087784037484
2,2,1,8.87608756682678,-6.1938361551053465
3,2,2,5.60920158164413,-6.516552988137994
4,2,4,8.488495975608156,-9.265100696431253
5,4,1,2.7336494377819536,-2.6716409688309026
6,4,2,8.368243238105286,-3.934824474588936
7,4,4,8.230573355192096,-6.150487484601628
8,4,5,6.522044899447772,-8.961052115777019
9,5,3,2.9346802638745197,-3.298958342222674
10,5,4,9.405581992143334,-7.982192910139535
11,5,5,8.457231435107296,-3.6059642866631307
12,6,5,1.5947107751708287,-1.2322847145587694
13,7,1,7.885490810714358,-3.0062520498309357
