lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049236.0,8570924.0,,,,,
1049235.836028454,8570923.901194254,,,,,
1049234.3009250218,8570925.402975626,,,,,
1049234.3009250218,8570925.402975626,,,,,
1049235.891181549,8570923.299075875,,,,,
1049235.026330775,8570923.548136737,,,,,
1049229.8055230023,8570920.748528648,,,,,
1049227.4621540448,8570920.356851285,,,,,
1049226.7970439077,8570923.856563566,,,,,
1049226.5058833973,8570923.375016203,,,,,
1049230.953734548,8570921.967914158,,,,,
1049230.8115156463,8570920.999079535,,,,,
1049227.1320709006,8570921.776072541,,,,,
1049222.9830164658,8570925.662588367,,,,,
1049218.4659425316,8570925.309423935,,,,,
1049218.8090183088,8570924.899215508,,,,,
1049220.1764873995,8570926.546576848,,,,,
1049216.8347002089,8570920.418338079,,,,,
1049258.2231748917,8570945.520344196,,,,,
1049318.8641894036,8571017.506945005,,,,,
1049321.963996811,8571021.013554092,,,,,
1049344.4953107568,8571067.164401276,,,,,
1049363.6699927044,8571082.834099438,,,,,
1049363.6699927044,8571082.834099438,,,,,
1049365.0746366906,8571081.80508267,,,,,
1049361.5206380757,8571076.076247932,,,,,
1049359.0812723846,8571070.61198564,,,,,
1049359.2367297213,8571070.657179954,,,,,
1049359.6652728987,8571073.532364825,,,,,
1049358.7199379315,8571071.737031633,,,,,
1049357.744437467,8571071.240110347,,,,,
1049357.744437467,8571071.240110347,,,,,
1049326.3398257038,8571107.006679587,,,,,
1049312.6227739772,8571128.871448515,,,,,
1049292.803318507,8571137.362073425,,,,,
1049252.435719826,8571158.388520202,,,,,
1049222.8914979857,8571171.598113148,,,,,
1049142.0891508132,8571211.268226193,,,,,
1049143.3950060788,8571219.243862052,,,,,
1049140.6899415443,8571253.8365614,,,,,
1049133.6223069772,8571261.41930875,,,,,
1049133.8103822789,8571265.276874932,,,,,
1049132.7367408103,8571267.959924392,,,,,
1049142.4002843923,8571383.103753688,,,,,
1049140.285151099,8571377.427285507,,,,,
1049129.2194246957,8571284.996274041,,,,,
1049131.1954950718,8571292.35067233,,,,,
1049128.7228166186,8571318.553254122,,,,,
1049128.7228166186,8571318.553254122,,,,,
1049129.1829378265,8571313.761977954,,,,,
1049130.0409157844,8571315.61920908,,,,,
1049123.3020123946,8571319.547766529,,,,,
1049123.408513111,8571319.995508114,,,,,
1049120.3806598447,8571321.882380685,,,,,
1049120.8985829658,8571325.983414121,,,,,
1049126.4329502396,8571322.027478514,,,,,
1049132.098845763,8571321.45400569,,,,,
1049132.098845763,8571321.45400569,,,,,
1049125.5617089695,8571326.501003299,,,,,
1049123.7352804835,8571357.119112168,,,,,
1049120.0290411313,8571380.80262797,,,,,
1049117.7045494835,8571384.078797678,,,,,
1049107.537567018,8571408.948337937,,,,,
1049049.8499748856,8571468.607695377,,,,,
1049050.071205298,8571472.30525437,,,,,
1049048.2438153273,8571494.258072648,,,,,
1049055.4835978844,8571501.050319444,,,,,
1049039.428498936,8571519.115133824,,,,,
1049025.9085510254,8571531.095595047,,,,,
1049026.7074990491,8571557.384700062,,,,,
1049024.401879651,8571559.008460581,,,,,
1049006.571582615,8571593.642297542,,,,,
1048986.6906935708,8571609.578062648,,,,,
1048958.0559388262,8571671.664998295,,,,,
1048946.2823703971,8571686.565901602,,,,,
1048945.765987633,8571691.409821058,,,,,
1048940.551190063,8571711.243428461,,,,,
1048934.3560156028,8571722.708741035,,,,,
1048929.642816262,8571761.41225242,,,,,
1048889.2421063632,8571804.573400253,,,,,
1048889.2421063632,8571804.573400253,,,,,
1048889.3232385677,8571804.475332648,,,,,
1048889.3232385677,8571804.475332648,,,,,
1048904.9814352535,8571838.703654872,,,,,
1048925.311316328,8571881.937214999,,,,,
1048950.0269608838,8571889.786926165,,,,,
1048994.3931523787,8571908.977056732,,,,,
1049108.8758756423,8571917.409263453,,,,,
1049188.8858055542,8571956.949948786,,,,,
1049205.333616746,8571983.748843325,,,,,
1049211.5927085087,8572006.410251379,,,,,
1049280.1581821328,8572096.509559955,,,,,
1049280.1581821328,8572096.509559955,,,,,
1049280.8696680844,8572094.341951977,,,,,
1049282.9834066576,8572094.401748434,,,,,
1049283.018928177,8572093.540079055,,,,,
1049283.2552672927,8572093.67380774,,,,,
1049283.2552672927,8572093.67380774,,,,,
1049275.6661491236,8572108.450027326,,,,,
1049273.5099919245,8572121.128485667,,,,,
1049275.6037211004,8572136.13682738,,,,,
1049266.6883896054,8572164.598000966,,,,,
1049267.0652597896,8572166.428457879,,,,,
1049254.992389644,8572247.355758443,,,,,
1049252.7393212232,8572269.851701278,,,,,
1049192.6510077931,8572348.27801548,,,,,
1049172.9429149062,8572379.834982214,,,,,
1049173.2327606997,8572381.969436599,,,,,
1049164.1157786583,8572426.92472006,,,,,
1049112.6347644937,8572506.951652894,,,,,
1049112.3153246136,8572509.577920597,,,,,
1049124.3593368707,8572564.009413278,,,,,
1049104.238513515,8572590.465360496,,,,,
1049106.4852909013,8572601.031761663,,,,,
1049108.5166962843,8572767.511064779,,,,,
1049108.5166962843,8572767.511064779,,,,,
1049108.5166962843,8572767.511064779,,,,,
1049160.627349404,8572804.626462283,,,,,
1049162.420466166,8572807.558122495,,,,,
1049167.6840168356,8572812.799468733,,,,,
1049198.4688343068,8572838.288767533,,,,,
1049280.1504344768,8572879.410289072,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049290.5632704585,8572907.427771823,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049316.50292766,8572942.431787852,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049337.9238044634,8572990.065363484,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049371.6263856632,8573060.600021921,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049398.5149163376,8573068.462582676,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049429.0440612936,8573102.315639745,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049432.008017934,8573103.04924653,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049445.8833927326,8573122.20666394,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049483.952523426,8573131.050631858,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049505.7747939732,8573138.295343103,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049580.8428128185,8573208.68417648,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049587.6732959135,8573219.959687142,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049686.2310133425,8573294.134118868,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049712.066418317,8573338.37024257,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049714.3084336545,8573339.081057068,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049731.577060985,8573361.451789487,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049732.5569118476,8573362.745040666,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049755.774138284,8573383.829906294,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049759.1414666376,8573384.195373787,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049775.0509865286,8573395.583993679,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049822.7465625096,8573438.981217297,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049871.6557328282,8573461.491331693,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049871.6557328282,8573461.491331693,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049871.6557328282,8573461.491331693,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049865.9424646352,8573453.638552545,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049861.9815897602,8573420.105459105,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049811.1429876238,8573363.37199232,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049806.241849313,8573359.74888282,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049806.0973791026,8573353.336318867,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049789.3231705178,8573324.819051066,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049787.4294822584,8573322.966954008,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049787.266002664,8573315.99916727,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049752.041199569,8573282.983916877,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049746.6951369648,8573264.867494859,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049741.1756700866,8573257.020290356,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049736.1305814483,8573241.13252339,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049720.6797969595,8573214.84377336,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049718.1622102992,8573208.9858985,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049682.8565108797,8573155.116281252,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049661.4851780306,8573009.486211523,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049661.3258358752,8573007.566046977,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049623.8085382653,8572956.023053503,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049608.9602122873,8572926.481779711,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049603.8645565845,8572917.880726041,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049576.4056795395,8572865.09847969,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049570.0437026003,8572857.561454576,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049561.7044383844,8572828.73906801,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049553.9115957676,8572815.632644117,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049546.4402764204,8572802.958052948,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049569.1062069382,8572658.652782682,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049568.3690801414,8572659.039919116,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049536.0367327288,8572713.863507472,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049536.0367327288,8572713.863507472,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049536.0367327288,8572713.863507472,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049580.987174767,8572704.918974672,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049601.402752536,8572669.443283381,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049642.8944196214,8572651.019179964,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049777.159332473,8572497.158217996,,,,,
1049787.1629660234,8572490.195653891,,,,,
1049822.1976258685,8572480.788763901,,,,,
1049879.954484841,8572450.037522376,,,,,
1049922.4600727044,8572435.327291891,,,,,
1049978.252090379,8572414.61395315,,,,,
1050044.066767191,8572349.833542807,,,,,
1050122.0748763727,8572301.216166798,,,,,
1050126.151879411,8572293.254923817,,,,,
1050171.6219338258,8572279.340483649,,,,,
1050189.113883174,8572261.102698827,,,,,
1050197.1528800984,8572248.19999895,,,,,
1050210.776567538,8572227.567624172,,,,,
1050210.776567538,8572227.567624172,,,,,
1050210.776567538,8572227.567624172,,,,,
1050183.063797902,8572270.624604674,,,,,
1050139.08492307,8572298.712137846,,,,,
1050120.9895213842,8572328.72796088,,,,,
1050049.2986043403,8572363.427492056,,,,,
1050030.879221058,8572432.635693882,,,,,
1049945.7140511638,8572643.93386255,,,,,
1049924.9527001127,8572652.288528884,,,,,
1049906.3390982645,8572668.197432814,,,,,
1049842.4856746888,8572695.193360694,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049828.675547436,8572738.946511092,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049755.826819096,8572795.148453275,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049736.7348963574,8572813.652008843,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049729.7342206158,8572829.739628756,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049722.0029821228,8572830.44892037,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049716.735465733,8572831.634840043,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049658.7749374923,8572885.08328874,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049653.6434076133,8572885.847636579,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049597.3882632744,8572919.513633195,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049597.3882632744,8572919.513633195,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049597.3882632744,8572919.513633195,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049602.1082976533,8572931.496262621,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049607.3471334204,8572946.956069095,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049619.599247591,8572956.123003133,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049651.0743067448,8572974.273749435,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049672.8317870698,8572991.856092524,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049760.126660064,8573063.15155826,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049790.0120825171,8573089.458043339,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049795.7975457227,8573103.797170794,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049832.4678935916,8573168.216800744,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049838.5543185782,8573185.233494485,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049881.6345918872,8573242.1202376,,,,,
1049860.0833971377,8573309.712583479,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049860.0833971377,8573309.712583479,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049860.0833971377,8573309.712583479,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049848.2951612738,8573296.801266514,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049825.404567679,8573273.04732572,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049819.9519283895,8573267.854451058,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049815.7189649576,8573253.637938274,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049795.1548881151,8573208.01217681,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049741.6540861754,8573110.553397948,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049736.622815641,8573101.709469987,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049661.6946607844,8573062.882612394,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049625.751125598,8573017.979057526,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049560.3895224317,8572952.640257258,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049552.37884832,8572947.302917095,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049370.4892751544,8572842.37055827,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049370.4892751544,8572842.37055827,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049370.4892751544,8572842.37055827,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049368.3624297087,8572861.955688007,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049369.3220898416,8572871.164084116,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049393.537127797,8572926.384295247,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049388.4156878414,8572946.394442571,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049400.2927639897,8572975.718982555,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049349.102381392,8573068.398992466,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049357.6158193045,8573094.294068882,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049358.6133104337,8573103.966206925,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049356.1975586014,8573112.419055553,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049367.0273420354,8573210.548817074,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049367.491280946,8573214.743345229,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049365.6972477413,8573285.902895227,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049371.0822462062,8573303.855007028,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049384.1579184914,8573324.656686021,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049394.1777107816,8573356.105984021,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049404.9507798732,8573405.9845826,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049417.9104091628,8573519.89988716,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049410.1438069683,8573525.473604685,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049386.8331639296,8573572.369361414,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049386.8331639296,8573572.369361414,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049386.8331639296,8573572.369361414,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049446.57854534,8573575.695396528,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049548.613200304,8573659.726410111,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049547.8906805124,8573656.049837783,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049546.818092703,8573653.92718,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049590.5476550127,8573670.448797114,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049611.139641667,8573682.260322126,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049673.0846139805,8573718.96160888,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049690.7692451717,8573723.880052362,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049719.6624224295,8573728.194245776,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049740.1160345324,8573728.740332227,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049778.2655010098,8573752.473169927,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049805.4222547607,8573759.28514927,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049806.0677878782,8573760.786772134,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049807.2829650743,8573768.259175088,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049808.9420195408,8573771.968890466,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
1049940.6462131925,8573777.257921135,,,,,
1049947.5633616592,8573786.657206027,,,,,
1049947.8865343623,8573786.059405798,,,,,
1049946.2007429365,8573780.99993734,,,,,
1049946.385442521,8573780.970147084,,,,,
1049947.4421397776,8573771.719235346,,,,,
1049945.6777360304,8573778.315958288,,,,,
1049944.1250037395,8573780.060062595,,,,,
1049944.5385413738,8573780.448967477,,,,,
1049943.0996045878,8573780.947693387,,,,,
1049945.8535642286,8573776.983845184,,,,,
1049946.3624158995,8573778.178962063,,,,,
1049941.9578630466,8573775.610668838,,,,,
1049942.0769158294,8573775.735377433,,,,,
1049942.2584599094,8573775.778970277,,,,,
1049941.74312255,8573774.942212934,,,,,
1049940.4928204273,8573774.29494993,,,,,
1049940.1491366266,8573772.927041788,,,,,
1049939.1482725802,8573772.384157797,,,,,
1049936.9539966204,8573775.759069486,,,,,
1049986.4099321177,8573806.536186554,,,,,
1050011.0478413126,8573832.396251477,,,,,
1050061.4891242927,8573831.015954338,,,,,
1050106.5184024188,8573884.865762442,,,,,
1050106.5184024188,8573884.865762442,,,,,
1050111.1471823866,8573885.802460672,,,,,
1050111.4372837902,8573885.748920478,,,,,
1050111.235310209,8573884.410512581,,,,,
1050111.0586787786,8573890.414998025,,,,,
1050120.469068739,8573896.079794666,,,,,
1050116.7569006858,8573892.796001807,,,,,
1050116.564231895,8573892.599614738,,,,,
1050116.2500908696,8573894.520847466,,,,,
1050103.3998109945,8573895.652421826,,,,,
1050105.601648535,8573895.968260687,,,,,
1050100.0458801158,8573882.850687472,,,,,
1050099.634968104,8573881.752177479,,,,,
1050099.5710029297,8573888.316530224,,,,,
1050099.0214378033,8573887.837578814,,,,,
1050102.328640262,8573888.939856144,,,,,
1050102.6208958374,8573889.931459801,,,,,
1050099.551965449,8573883.916603,,,,,
1050099.2679356078,8573882.959038828,,,,,
1050099.2679356078,8573882.959038828,,,,,
1050088.6665060576,8573848.506827015,,,,,
1050068.5678694246,8573829.396603128,,,,,
1050066.759994527,8573817.399701148,,,,,
1050054.41111963,8573759.073176078,,,,,
1050013.298296002,8573725.85374495,,,,,
1049996.0785007714,8573709.702330267,,,,,
1049992.9385374384,8573710.9945803,,,,,
1049985.2270358887,8573700.653505402,,,,,
1049985.6365346736,8573700.851300003,,,,,
1049986.9383761657,8573703.184337374,,,,,
1049990.0399874488,8573703.291956317,,,,,
1049975.9926880728,8573680.539776627,,,,,
1049920.0890652046,8573631.424280908,,,,,
1049920.770087208,8573629.491052117,,,,,
1049923.5644038226,8573619.378173351,,,,,
1049923.3218133731,8573618.21957941,,,,,
1049889.551711112,8573567.637996424,,,,,
1049887.7018705816,8573549.059514701,,,,,
1049883.8654923062,8573528.411236783,,,,,
1049894.394216695,8573511.557907123,,,,,
1049894.394216695,8573511.557907123,,,,,
1049894.4230468047,8573512.686367271,,,,,
1049892.2115020987,8573515.78817011,,,,,
1049887.4613902504,8573516.059756879,,,,,
1049886.5014265522,8573517.087016508,,,,,
1049887.7887399262,8573516.26578589,,,,,
1049887.0814363891,8573516.773320558,,,,,
1049887.0814363891,8573516.773320558,,,,,
1049879.6325490626,8573509.499454787,150.0,1.0229381394840011,-6.352397735457549,8.818109983611986,-9.341294007475359
