lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049237.0,8570920.0,,,,,
1049237.0,8570920.0,,,,,
1049237.0533167743,8570927.002329344,,,,,
1049287.5683258648,8571028.96401542,,,,,
1049304.8139365946,8571050.776097262,,,,,
1049301.49073059,8571059.716043843,,,,,
1049337.750168515,8571114.7759599,,,,,
1049311.8726443865,8571242.850999266,,,,,
1049319.7042630136,8571266.770227583,,,,,
1049316.6793885592,8571284.384847807,,,,,
1049322.8163029314,8571291.532961627,,,,,
1049424.3296600657,8571492.552575437,,,,,
1049401.1617527937,8571552.37354319,,,,,
1049401.8548277772,8571568.44691582,,,,,
1049402.255272064,8571571.080325255,,,,,
1049390.939474056,8571695.202004373,,,,,
1049401.0130524668,8571637.64378477,,,,,
1049401.0130524668,8571637.64378477,,,,,
1049401.0130524668,8571637.64378477,,,,,
1049387.4058873982,8571715.345399177,,,,,
1049371.614835143,8571739.826760663,,,,,
1049370.288463908,8571751.849777343,,,,,
1049341.5647747158,8571806.706671868,,,,,
1049344.5445382495,8571821.429389035,,,,,
1049340.0452439492,8571866.134274065,,,,,
1049375.263646652,8571954.763298245,,,,,
1049375.263646652,8571954.763298245,,,,,
1049376.776622499,8571955.203006797,,,,,
1049377.0285332694,8571953.881372174,,,,,
1049382.3960714692,8571945.890897935,,,,,
1049381.2655375344,8571945.52973092,,,,,
1049381.8344203606,8571946.292579561,,,,,
1049382.366852061,8571947.793177703,,,,,
1049382.7810293678,8571947.771155002,,,,,
1049385.0076480042,8571949.818222057,,,,,
1049385.1284550389,8571949.424247665,,,,,
1049384.3686261654,8571947.946357643,,,,,
1049386.517156932,8571950.819265066,,,,,
1049381.9490401803,8571951.461523874,,,,,
1049380.580027986,8571953.64514528,,,,,
1049369.6052754254,8571943.188585773,,,,,
1049369.6052754254,8571943.188585773,,,,,
1049366.698598657,8571961.231307065,,,,,
1049382.114525769,8572152.79257992,,,,,
1049374.436513382,8572176.28884878,,,,,
1049368.6533496643,8572182.53776023,,,,,
1049364.7748063167,8572192.576828063,,,,,
1049344.4821854376,8572202.390193298,,,,,
1049345.0534664565,8572203.001644503,,,,,
1049300.371186591,8572238.581931114,,,,,
1049298.819044026,8572248.790347729,,,,,
1049288.8331255962,8572287.36747543,,,,,
1049282.7458269757,8572339.28869287,,,,,
1049276.2974111894,8572364.930770079,,,,,
1049265.4612265124,8572373.524033645,,,,,
1049266.792026825,8572370.309245251,,,,,
1049264.6611920826,8572370.119904818,,,,,
1049264.1056015105,8572367.68819765,,,,,
1049265.1186784538,8572365.530429658,,,,,
1049265.5789990327,8572364.899028955,,,,,
1049269.2569045946,8572368.043874677,,,,,
1049266.732335945,8572372.466494087,,,,,
1049265.3513046552,8572371.237079317,,,,,
1049265.5109150962,8572369.921620881,,,,,
1049268.4668086933,8572372.712796852,,,,,
1049267.2242161522,8572378.97129253,,,,,
1049260.1492992982,8572384.118824245,,,,,
1049159.8421501203,8572466.848154625,,,,,
1049159.7694364295,8572466.890386147,,,,,
1049148.809434021,8572476.092373468,,,,,
1049142.089597688,8572507.47641559,,,,,
1049137.6357485496,8572544.562451066,,,,,
1049083.6162597171,8572599.412711423,,,,,
1049070.054740503,8572616.039567199,,,,,
1049070.054740503,8572616.039567199,,,,,
1049066.342724864,8572607.465733662,,,,,
1049066.342724864,8572607.465733662,,,,,
1049042.770967229,8572631.31839527,,,,,
1049035.6334409716,8572637.075290944,,,,,
1049012.5565497142,8572653.613755507,,,,,
1049009.30897166,8572673.20629251,,,,,
1048993.783728704,8572751.387461228,,,,,
1049007.1901912612,8572726.98145525,,,,,
1049009.27311089,8572732.665400214,,,,,
1049018.2516797502,8572729.830912635,,,,,
1049020.2679835807,8572726.791235376,,,,,
1049015.3526223062,8572736.222764267,,,,,
1049015.3526223062,8572736.222764267,,,,,
1049013.3044302887,8572735.87883258,,,,,
1049015.0532691164,8572736.832132807,,,,,
1049014.0492310235,8572737.446202302,,,,,
1049018.8506882773,8572742.027918585,,,,,
1049019.8433816847,8572726.14261516,,,,,
1049019.8645631862,8572725.962154528,,,,,
1049019.3539115477,8572729.521777287,,,,,
1049019.5274507294,8572730.621639406,,,,,
1049023.7264447948,8572734.096518915,,,,,
