lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049233.0,8570908.0,,,,,
1049233.2294745564,8570913.073150704,,,,,
1049233.2294745564,8570913.073150704,,,,,
1049251.5680322875,8570943.029423224,,,,,
1049253.767824598,8570946.278812476,,,,,
1049280.269329484,8570997.460192537,,,,,
1049292.043518655,8570991.428299522,,,,,
1049290.485459725,8570990.897245139,,,,,
1049289.9210062025,8571041.395014387,,,,,
1049284.114222915,8571071.45383521,,,,,
1049284.0835840567,8571071.928893017,,,,,
1049284.52136976,8571067.882279055,,,,,
1049283.451692599,8571064.418400113,,,,,
1049282.9218646372,8571071.124583095,,,,,
1049276.804325848,8571076.074059878,,,,,
1049277.1884244287,8571075.924672667,,,,,
1049287.682379218,8571071.51086374,,,,,
1049287.8412968738,8571071.975678151,,,,,
1049291.0443525764,8571067.25322276,,,,,
1049296.0684926354,8571080.718482343,,,,,
1049299.181094149,8571081.023410823,,,,,
1049319.563488612,8571230.391218456,,,,,
1049313.488461837,8571237.74640653,,,,,
1049248.019961046,8571245.407426286,,,,,
1049323.2787421332,8571264.428602085,,,,,
1049319.8540447827,8571264.153843226,,,,,
1049254.39211873,8571234.201595962,,,,,
1049265.1600423683,8571288.4082741,,,,,
1049265.1600423683,8571288.4082741,,,,,
1049264.052100149,8571289.064970924,,,,,
1049262.5271041906,8571284.486315299,,,,,
1049262.5271041906,8571284.486315299,,,,,
1049253.3307007258,8571290.31275441,,,,,
1049242.454772464,8571296.043610092,,,,,
1049212.483252524,8571350.12850972,,,,,
1049163.6394718594,8571359.492537623,,,,,
1049153.1972342026,8571367.28430419,,,,,
1049138.739868905,8571400.027083745,,,,,
1049130.3318977514,8571403.753611997,,,,,
1049076.8977538473,8571456.030581495,,,,,
1049057.4558468177,8571489.144867448,,,,,
1049038.818468623,8571523.375310812,,,,,
1049038.2899178672,8571522.255727606,,,,,
1049038.293686153,8571522.662779015,,,,,
1049037.1847156985,8571523.256343005,,,,,
1049037.2537968347,8571523.926691487,,,,,
1049039.1768777992,8571520.603155864,,,,,
1049036.906405939,8571522.023435088,,,,,
1049032.6941915387,8571519.742886739,,,,,
1049033.5771535232,8571519.858335942,,,,,
1049031.1478712747,8571524.344916474,,,,,
1049032.348225949,8571522.71426622,,,,,
1049030.332324954,8571523.735026656,,,,,
1049027.0717019725,8571519.563926427,,,,,
1049027.2659320266,8571518.257396977,,,,,
1049025.941850757,8571521.715292329,,,,,
1049023.299009621,8571525.89739192,,,,,
1049025.6032069416,8571529.419806236,,,,,
1049024.0555692571,8571531.95379753,,,,,
1048938.7740829326,8571625.590401951,,,,,
1048906.2853979268,8571643.18236055,,,,,
1048816.140592951,8571668.038985495,,,,,
1048818.0572339075,8571671.929303989,,,,,
1048818.0166519526,8571673.493286546,,,,,
1048817.3947487916,8571673.543427203,,,,,
1048816.1187310584,8571677.16085151,,,,,
1048813.158672457,8571671.99624757,,,,,
