lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049244.0,8570910.0,,,,,
1049243.9672724423,8570910.602817658,,,,,
1049248.0368042483,8570907.316681629,,,,,
1049249.312815965,8570905.553833859,,,,,
1049248.3716367031,8570904.39172223,,,,,
1049244.8572524688,8570906.073013216,,,,,
1049244.186966086,8570904.430117505,,,,,
1049241.8003102306,8570907.83535657,,,,,
1049237.952310818,8570900.776678786,,,,,
1049235.946667443,8570911.07124653,,,,,
1049234.0042243882,8570910.533862999,,,,,
1049244.9393479235,8570918.727254368,,,,,
1049243.7528637925,8570917.432295172,,,,,
1049243.983213868,8570920.069223326,,,,,
1049241.6518151162,8570924.88662315,,,,,
1049242.3866983147,8570923.3535685,,,,,
1049240.9345321178,8570924.943899103,,,,,
1049240.0735898346,8570921.910763832,,,,,
1049240.0922201448,8570925.49769193,,,,,
1049240.0773044406,8570925.490966335,,,,,
1049239.804098555,8570926.935290942,,,,,
1049239.585544491,8570926.673711626,,,,,
1049239.585544491,8570926.673711626,,,,,
1049210.7906603965,8570971.315355977,,,,,
1049212.2718808835,8570973.855192745,,,,,
1049218.917955638,8571006.862889796,,,,,
1049233.0248953777,8571047.880757036,,,,,
1049232.9476436018,8571063.409416797,,,,,
1049266.3006372878,8571148.537882386,,,,,
1049093.3064083797,8571197.077428013,,,,,
1049216.345668394,8571242.58937296,,,,,
1049256.9224107594,8571119.093102755,,,,,
1049247.7638533227,8571129.549248993,,,,,
1049193.224282395,8571206.722634068,,,,,
1049193.224282395,8571206.722634068,,,,,
1049189.421821394,8571205.405470887,,,,,
1049188.7411992247,8571207.892729292,,,,,
1049192.9944417777,8571205.302322118,,,,,
1049195.5866974073,8571205.788897721,,,,,
1049195.5866974073,8571205.788897721,,,,,
1049195.4087027328,8571207.494232383,,,,,
1049260.1604026014,8571274.215829443,,,,,
1049260.459502058,8571274.537992135,,,,,
1049257.0306607638,8571302.743133526,,,,,
1049308.6384513392,8571435.597019795,,,,,
1049321.5891441896,8571481.28568836,,,,,
1049320.795793967,8571500.115740854,,,,,
1049360.6611214392,8571597.431153394,,,,,
1049358.7063499233,8571606.278273804,,,,,
1049367.690736138,8571618.016529428,,,,,
1049367.7700832814,8571643.927958377,,,,,
1049370.9449924566,8571670.296138022,,,,,
1049376.190945096,8571676.668128232,,,,,
1049382.4822167095,8571723.998418987,,,,,
1049383.0602880514,8571723.155290226,,,,,
1049381.1090309746,8571723.468892766,,,,,
1049380.5874368774,8571722.020734908,,,,,
1049379.9840343704,8571721.292673983,,,,,
1049380.8119111,8571726.566832075,,,,,
1049382.5554929243,8571730.170904605,,,,,
1049377.661480123,8571738.29377559,,,,,
1049377.4735202494,8571736.291391706,,,,,
1049377.4777434338,8571738.109156974,,,,,
1049377.05808561,8571749.003504248,,,,,
1049361.3999796244,8571743.404051403,,,,,
1049356.971789831,8571747.673217423,,,,,
1049355.8336300063,8571746.196337758,,,,,
1049352.364610101,8571754.187523834,,,,,
1049349.0463004005,8571747.224073153,,,,,
1049345.8449764512,8571750.462376846,,,,,
1049343.7158356323,8571744.66871829,,,,,
1049347.6742071589,8571744.138180023,,,,,
1049349.4733391055,8571742.482115258,,,,,
1049348.7919761832,8571743.101256391,,,,,
1049347.300655252,8571741.896918297,,,,,
1049356.9822408748,8571777.382716918,,,,,
1049383.3060386614,8571876.179706547,,,,,
1049385.30805348,8571882.726570386,,,,,
1049400.835786245,8571907.764614899,,,,,
1049447.064852914,8572060.833630513,,,,,
1049447.7713618749,8572048.06627812,,,,,
1049447.745345557,8572048.030832823,,,,,
1049442.034013295,8572040.580794448,,,,,
1049423.997555605,8572001.303220557,,,,,
1049425.1936294483,8571999.607325783,,,,,
1049457.2828437632,8571924.735954538,,,,,
1049379.8059560244,8571945.561549705,,,,,
1049400.506732781,8571952.774043448,,,,,
1049422.5938183567,8571955.491711441,,,,,
1049422.5938183567,8571955.491711441,,,,,
1049423.823195253,8571955.99478927,,,,,
1049427.9044238226,8571954.944540791,,,,,
1049432.6120161463,8571954.301574606,,,,,
1049431.8489420463,8571953.446548212,,,,,
1049434.7077906693,8571952.670342155,,,,,
1049431.7394270708,8571951.099177783,,,,,
1049431.865602108,8571949.796218459,,,,,
1049431.865602108,8571949.796218459,,,,,
1049405.6139508511,8571957.273779448,,,,,
1049383.6204287417,8571971.953095125,,,,,
1049377.2150383266,8571994.046993565,,,,,
1049351.4349322058,8572003.42650331,,,,,
1049315.0132172992,8572037.987475883,,,,,
1049305.2092197996,8572041.141412962,,,,,
1049238.6661231006,8572128.828205895,,,,,
1049224.6508548297,8572147.156013686,,,,,
1049161.1083400606,8572197.86817696,,,,,
1049068.1448738847,8572231.572908552,,,,,
1049004.7067382014,8572329.116674885,,,,,
1048992.9744734792,8572381.743403831,,,,,
1048981.4823562808,8572392.085675757,,,,,
1048929.2588614216,8572566.20353942,,,,,
1048904.0635867976,8572544.877690736,,,,,
1048898.143149268,8572534.861935763,,,,,
1048847.345626556,8572506.336318335,,,,,
1048847.345626556,8572506.336318335,,,,,
1048847.345626556,8572506.336318335,,,,,
1048874.070311244,8572524.164744454,,,,,
1048934.901039141,8572556.379840089,,,,,
1048970.576858268,8572593.302524153,,,,,
1048971.6145218948,8572593.749427333,,,,,
1049018.0947526528,8572612.595340166,,,,,
1049069.1899441213,8572636.781093327,,,,,
1049080.767530057,8572644.588493291,,,,,
1049206.9256696342,8572683.85428331,,,,,
1049212.7539728624,8572685.77647707,,,,,
1049237.399936254,8572717.222223004,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049257.4966074177,8572732.364504928,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049267.3981411585,8572767.386692604,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049294.42373476,8572794.238426382,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049327.046155303,8572820.615123661,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049336.8144725475,8572839.07128946,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
