lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049229.0,8570907.0,,,,,
1049229.5899207145,8570905.936795488,,,,,
1049229.506035283,8570906.191238083,,,,,
1049227.9191422646,8570904.721693447,,,,,
1049227.6331012752,8570900.722507313,,,,,
1049219.5834561188,8570903.265993683,,,,,
1049219.3046846846,8570903.291008098,,,,,
1049222.6020100366,8570907.45086306,,,,,
1049227.9116246183,8570902.188330788,,,,,
1049229.973842321,8570904.199107306,,,,,
1049232.344331849,8570902.085503846,,,,,
1049233.8025768518,8570905.7215646,,,,,
1049233.8025768518,8570905.7215646,,,,,
1049248.8720875557,8570942.837362872,,,,,
1049248.957975573,8570941.329511292,,,,,
1049266.2311621555,8570974.292510092,,,,,
1049257.4474498965,8570993.0932849,,,,,
1049267.603147791,8571026.3362793,,,,,
1049264.7973584214,8571069.127830198,,,,,
1049264.7973584214,8571069.127830198,,,,,
1049263.839874415,8571068.230210125,,,,,
1049260.8453826143,8571069.42156242,,,,,
1049260.2999395223,8571069.359812075,,,,,
1049260.1569088146,8571059.735041156,,,,,
1049264.949261726,8571059.261204474,,,,,
1049266.2262637776,8571059.882997662,,,,,
1049266.8482781458,8571058.215642693,,,,,
1049270.4919644434,8571059.391995385,,,,,
1049265.7321487663,8571054.997700335,,,,,
1049265.646620924,8571052.81952519,,,,,
1049273.058030667,8571058.588856466,,,,,
1049273.244634966,8571053.454066603,,,,,
1049273.244634966,8571053.454066603,,,,,
1049233.2684985911,8571115.121284747,,,,,
1049232.0699628338,8571115.850927297,,,,,
1049227.9644779642,8571117.808657698,,,,,
1049170.2959563946,8571155.88495897,,,,,
1049166.647091726,8571153.86335374,,,,,
1049165.9785441638,8571154.479654577,,,,,
1049105.4782361053,8571197.779271,,,,,
1049080.8992099934,8571293.930856489,,,,,
1049073.2274795484,8571305.799751252,,,,,
1049058.267843828,8571347.427417032,,,,,
1049052.4888123414,8571351.43907667,,,,,
1049034.6748591063,8571363.476632614,,,,,
1049023.846310518,8571387.11594719,,,,,
1049020.9977688112,8571378.02456954,,,,,
1049019.3324347662,8571376.28286522,,,,,
1049016.4921438096,8571377.848671399,,,,,
1049013.7802888437,8571372.328235222,,,,,
1049014.728476645,8571385.531269183,,,,,
1049013.551752407,8571388.45865555,,,,,
1049017.0692609863,8571386.700344905,,,,,
1049023.817308518,8571387.326809486,,,,,
1049028.092011418,8571391.091754174,,,,,
1049028.220491181,8571390.868101098,,,,,
1049038.1499282152,8571394.778500456,,,,,
1049038.085633081,8571394.677335141,,,,,
1049042.2203675336,8571396.013549602,,,,,
1049027.776501433,8571399.301010463,,,,,
1049014.1912328615,8571400.643340038,,,,,
1048966.174331639,8571447.082946308,,,,,
1048956.4795787942,8571461.881804405,,,,,
1048925.287973737,8571469.265482921,,,,,
1048895.4601207054,8571491.879478658,,,,,
1048859.7117218866,8571498.537955798,,,,,
1048848.623166886,8571502.284603992,,,,,
1048844.0273373085,8571507.40015938,,,,,
1048813.3399019327,8571521.099898087,,,,,
1048784.4104196343,8571534.884833664,,,,,
1048726.8307195192,8571563.578541096,,,,,
1048707.3670070092,8571576.047910493,,,,,
1048701.6457577304,8571601.081667326,,,,,
1048683.3694127856,8571627.151585525,,,,,
1048683.3694127856,8571627.151585525,,,,,
1048682.3139730264,8571627.92419624,,,,,
1048679.0197244168,8571625.982649162,,,,,
1048676.4448872532,8571627.789271032,,,,,
1048678.9805983207,8571630.474658668,,,,,
1048681.6738087912,8571625.750114618,,,,,
1048683.5219006632,8571625.976148969,,,,,
1048683.3492927707,8571626.038763873,,,,,
1048682.489731362,8571625.26740808,,,,,
1048686.1348990789,8571631.93162479,,,,,
1048685.3718068404,8571630.994165143,,,,,
1048682.7370762876,8571630.407855885,,,,,
1048667.9973172012,8571634.422588388,,,,,
1048664.3558048909,8571636.18459219,,,,,
1048655.8791787515,8571640.596132502,,,,,
1048655.138805831,8571640.982387263,,,,,
1048661.145511218,8571628.711789418,,,,,
1048661.836420633,8571633.109437667,,,,,
1048667.1563763623,8571629.331385734,,,,,
1048666.3832116746,8571623.523909662,,,,,
1048666.3485781944,8571623.452756654,,,,,
1048664.7006940164,8571628.308224462,,,,,
1048664.107124104,8571627.708709378,,,,,
1048664.107124104,8571627.708709378,,,,,
1048712.6769366148,8571615.829696272,,,,,
1048759.9953305628,8571612.973505726,,,,,
1048768.611443207,8571613.140716007,,,,,
1048819.734305899,8571601.02864416,,,,,
1048843.5050574252,8571598.275319614,,,,,
1048867.451864912,8571600.603170926,,,,,
1048980.590819982,8571539.004809476,,,,,
1048997.2026825428,8571533.05881114,,,,,
1049062.536431566,8571568.170036774,,,,,
1049077.734528314,8571565.263536591,,,,,
1049088.1676393088,8571572.898666054,,,,,
1049091.09043837,8571572.073196767,,,,,
1049145.0027944816,8571560.06368401,,,,,
1049161.4701789736,8571557.589622635,,,,,
1049182.9619423382,8571563.035898529,,,,,
1049212.0061648465,8571555.694022125,,,,,
1049219.613827353,8571554.67220559,,,,,
1049247.4905025966,8571555.934154525,,,,,
1049337.8631729467,8571556.219168562,,,,,
1049352.198451055,8571590.883110762,,,,,
1049352.198451055,8571590.883110762,,,,,
1049352.198451055,8571590.883110762,,,,,
1049326.188691852,8571683.580427388,,,,,
1049326.7571062355,8571685.978750367,,,,,
1049337.3922992814,8571751.682828963,,,,,
1049331.7626516104,8571770.54359494,,,,,
1049336.2877448287,8571793.549354488,,,,,
1049346.2611754874,8571874.981816765,,,,,
1049335.3472247024,8571892.036979161,,,,,
1049278.156176522,8572055.521923482,,,,,
1049283.4395480235,8572072.051428573,,,,,
1049296.6059860676,8572102.479129193,,,,,
1049306.837529302,8572206.53214822,,,,,
1049311.5126250274,8572226.6072734,,,,,
1049311.5126250274,8572226.6072734,,,,,
1049311.5126250274,8572226.6072734,,,,,
1049309.522009547,8572225.289689982,,,,,
1049305.2102645934,8572222.635175282,,,,,
1049303.2317989175,8572221.724452533,,,,,
1049286.3241920837,8572178.460160187,,,,,
1049272.74327661,8572166.857126787,,,,,
1049239.9814155607,8572156.599539274,,,,,
1049216.248621755,8572140.873595728,,,,,
1049206.0043107383,8572136.710180964,,,,,
1049191.2841047691,8572119.577057976,,,,,
1049175.981617731,8572113.179198895,,,,,
1049167.5818364995,8572102.125446148,,,,,
1049150.866969844,8572086.530829864,,,,,
1049110.5413727243,8572058.40935916,,,,,
1049099.3867816518,8572035.829096416,,,,,
1049084.3115348695,8572004.170575194,,,,,
1049075.597262778,8571974.451471265,,,,,
1049034.3692252652,8571956.408998191,,,,,
1049033.841197554,8571954.805857921,,,,,
1048977.6263541018,8571922.070248308,,,,,
1048966.0843967153,8571917.9157183,,,,,
1048944.7254819686,8571862.02370759,,,,,
1048916.8785556664,8571847.82638393,,,,,
1048826.7268191432,8571809.562217293,,,,,
1048658.6070022,8571743.220392538,,,,,
1048654.5144661614,8571739.765786547,,,,,
1048653.52916036,8571738.54977466,,,,,
1048639.8794755964,8571713.070818845,,,,,
1048645.591180567,8571528.937055202,,,,,
1048637.4089091688,8571517.993587688,,,,,
1048616.925000057,8571517.95081807,,,,,
1048569.704142477,8571500.786633901,,,,,
1048569.704142477,8571500.786633901,,,,,
1048569.704142477,8571500.786633901,,,,,
1048584.626911615,8571506.437097803,,,,,
1048600.486477957,8571514.101181077,,,,,
1048766.2212085251,8571602.326091263,,,,,
1048767.0288959478,8571603.196115244,,,,,
1048820.0774915654,8571626.130351635,,,,,
1048837.1587647742,8571682.883314596,,,,,
1048848.856921861,8571695.910487818,,,,,
1048859.2950730624,8571700.727776734,,,,,
1048942.3021193205,8571769.476162646,,,,,
1048949.6430888292,8571788.149579521,,,,,
1048997.6246778185,8571811.15067444,,,,,
1049004.7029320528,8571815.150380924,,,,,
1049054.1819586093,8571927.672492988,,,,,
1049076.0087917096,8571944.925261816,,,,,
1049088.188760972,8571985.412833504,,,,,
1049098.7067471768,8572000.212212004,,,,,
1049110.6647744356,8572024.776439615,,,,,
1049154.479331119,8572057.78353881,,,,,
1049173.2188061834,8572101.379758488,,,,,
1049190.698941061,8572118.237407949,,,,,
1049199.555812222,8572135.617821421,,,,,
1049222.4519984925,8572144.772979455,,,,,
1049226.6854999503,8572173.370565424,,,,,
1049227.983402964,8572176.201745229,,,,,
1049233.0115663628,8572189.796574136,,,,,
1049248.9179869932,8572203.670839647,,,,,
1049268.0013997643,8572210.143039854,,,,,
1049285.618379464,8572227.504835734,,,,,
1049400.5790091823,8572416.45081625,,,,,
1049371.6709479482,8572375.665389905,,,,,
1049359.898897543,8572343.174393063,,,,,
1049342.0368008942,8572329.729529824,,,,,
1049331.0544878005,8572316.903433746,,,,,
1049322.719159847,8572299.527533077,,,,,
1049321.656073904,8572295.914648367,,,,,
1049288.8289615286,8572266.404788718,,,,,
1049288.8289615286,8572266.404788718,,,,,
1049288.8289615286,8572266.404788718,,,,,
1049253.615918646,8572361.958688455,,,,,
