lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049237.0,8570912.0,,,,,
1049236.7504555762,8570912.538291331,,,,,
1049236.229398293,8570907.031639565,,,,,
1049235.304828711,8570910.329410879,,,,,
1049230.4092009708,8570908.45168031,,,,,
1049227.6003581684,8570907.784824304,,,,,
1049226.3829711834,8570906.822561827,,,,,
1049224.310403992,8570907.10991858,,,,,
1049224.310403992,8570907.10991858,,,,,
1049221.7463825454,8570913.715292396,,,,,
1049224.9523296652,8570945.490758328,,,,,
1049219.80560904,8570953.045181654,,,,,
1049201.76640781,8571006.620052604,,,,,
1049023.5931598092,8571137.710901901,,,,,
1049003.9568969952,8571180.103428436,,,,,
1049011.135397708,8571196.286801685,,,,,
1049007.353805211,8571202.04134912,,,,,
1049005.2946656805,8571202.6737059,,,,,
1049005.6045730435,8571198.698839942,,,,,
1049000.0922683373,8571199.466167383,,,,,
1048999.6661223983,8571199.75628024,,,,,
1048998.2039764698,8571200.705834772,,,,,
1048998.4787594147,8571204.432979288,,,,,
1048997.6606334392,8571209.653510321,,,,,
1048981.1484125217,8571267.555459283,,,,,
1048981.1108772994,8571305.980234765,,,,,
1048981.0852157718,8571305.967612239,,,,,
1048980.576175217,8571305.598294336,,,,,
1048982.0388939544,8571306.91410785,,,,,
1048983.280902829,8571307.417215433,,,,,
1048982.1988721895,8571306.109566318,,,,,
1048983.3490707355,8571302.490781225,,,,,
1048988.9534731004,8571298.273386639,,,,,
1048990.69636097,8571293.914836604,,,,,
1048989.0136195135,8571294.542323235,,,,,
1048994.445796463,8571296.686984781,,,,,
1048993.3030729638,8571298.301493691,,,,,
1048999.357622421,8571314.947678793,,,,,
1048945.1478326512,8571559.967146602,,,,,
1048945.1478326512,8571559.967146602,,,,,
1048950.383687892,8571556.529244501,,,,,
1048948.4815208637,8571558.440704785,,,,,
1048948.2419357377,8571557.221684206,,,,,
1048948.2419357377,8571557.221684206,,,,,
1048961.282917862,8571570.498528164,,,,,
1048967.635938398,8571578.754969735,,,,,
1048980.0328133232,8571605.254044771,,,,,
1048985.8017364067,8571609.512002585,,,,,
1049016.10385272,8571634.648065813,,,,,
1049068.4825683734,8571660.647645405,,,,,
1049071.3302723467,8571662.01766606,,,,,
1049106.4059566895,8571752.34777614,,,,,
1049166.7185096492,8571804.956249926,,,,,
1049192.447508234,8571827.559721878,,,,,
1049215.5470383917,8571870.497733388,,,,,
1049270.655775861,8571920.83279648,,,,,
1049278.1650623642,8571928.334545275,,,,,
1049301.3152786165,8571940.84215447,,,,,
1049305.65168401,8571942.148955557,,,,,
1049314.5304211054,8571946.165263856,,,,,
1049328.3241933994,8571956.09182104,,,,,
1049357.6437039652,8571985.111863947,,,,,
1049369.91441151,8571996.316995213,,,,,
1049368.7549960471,8572000.258860528,,,,,
1049366.2079855788,8571996.226115579,,,,,
1049367.5139247011,8572004.235975321,,,,,
1049370.5224357336,8572003.76249138,,,,,
1049365.7255184737,8572009.948016016,,,,,
1049368.5542862266,8572016.774140656,,,,,
1049366.2124788826,8572020.694732543,,,,,
1049361.3558403673,8572019.429716036,,,,,
1049361.0846506942,8572020.2801888,,,,,
1049357.071564437,8572024.311639788,,,,,
1049357.4811078708,8572025.735293606,,,,,
1049354.6895635289,8572025.367440129,,,,,
1049355.6629124735,8572023.655428912,,,,,
1049362.9674223354,8572023.209099643,,,,,
1049363.5349590967,8572025.210222758,,,,,
1049366.8770314956,8572029.39922765,,,,,
1049361.8208417632,8572024.056261443,,,,,
1049362.2051252036,8572025.553858794,,,,,
1049365.132964678,8572025.076942617,,,,,
1049366.0580388682,8572026.012710484,,,,,
1049365.918368392,8572023.465878526,,,,,
1049370.2116709214,8572023.746446686,,,,,
1049444.3419076973,8572039.55138808,,,,,
1049438.173987914,8572036.624679934,,,,,
1049436.727590944,8572041.973242424,,,,,
1049439.668013631,8572045.058026548,,,,,
1049443.0227316793,8572046.19773589,,,,,
1049440.9445827191,8572048.986265948,,,,,
1049440.8632785634,8572045.84171243,,,,,
1049441.810620776,8572048.39829635,,,,,
1049443.0134157515,8572050.962345174,,,,,
1049442.5536284964,8572053.543831617,,,,,
1049439.911430143,8572057.026431147,,,,,
1049440.0628173251,8572057.50422599,,,,,
1049460.5006070766,8572072.6036634,,,,,
1049466.7693889234,8572076.420142023,,,,,
1049469.5094379236,8572077.124884656,,,,,
1049618.4593353514,8572095.440114103,,,,,
1049587.9776896986,8572110.407858051,,,,,
1049587.9776896986,8572110.407858051,,,,,
1049587.9776896986,8572110.407858051,,,,,
1049568.4816884105,8572104.709064443,,,,,
1049557.687689019,8572103.229738118,,,,,
1049537.6881166669,8572092.54757527,,,,,
1049519.6589180955,8572076.501266731,,,,,
1049482.7248715342,8572066.945149696,,,,,
1049469.9131538612,8572061.480198508,,,,,
1049447.6349734447,8572042.94497146,,,,,
1049433.9964465594,8572022.526545012,,,,,
1049429.3160190438,8572021.449004972,,,,,
1049397.6448782613,8571999.433641072,,,,,
1049393.596364136,8571998.799477758,,,,,
1049388.6974451095,8571991.85145253,,,,,
1049367.0976669667,8571964.718772858,,,,,
1049354.5802950782,8571947.110645283,,,,,
1049281.5686692542,8571907.639157528,,,,,
1049225.9030199335,8571850.309069578,,,,,
1049161.6668649383,8571835.44614284,,,,,
1049161.6668649383,8571835.44614284,,,,,
1049161.6668649383,8571835.44614284,,,,,
1049175.7503948277,8571841.701380977,,,,,
1049176.3576500786,8571844.63374983,,,,,
1049218.7194443494,8571902.433808032,,,,,
1049222.2998605955,8571919.210199112,,,,,
1049224.2542564678,8571920.069855463,,,,,
1049248.2238179226,8571948.259788964,,,,,
1049250.1138805544,8571950.16456298,,,,,
1049258.662364294,8571997.267581627,,,,,
1049285.2623714043,8572016.267105004,,,,,
1049359.3168149358,8572040.983590696,,,,,
1049353.4920168784,8572046.876927292,,,,,
1049353.4920168784,8572046.876927292,,,,,
1049353.4920168784,8572046.876927292,,,,,
1049352.0581399724,8572050.421322366,,,,,
1049350.697143031,8572059.674144944,,,,,
1049347.3485622425,8572066.206707735,,,,,
1049326.612191473,8572091.705910055,,,,,
1049294.0642597384,8572107.597746894,,,,,
1049192.0048449044,8572256.349607192,,,,,
1049184.2430107177,8572273.618613468,,,,,
1049184.0633037006,8572274.345658166,,,,,
1049165.9382919148,8572326.312716361,,,,,
1049154.006417472,8572388.705830274,,,,,
1049143.0785668064,8572429.01882541,,,,,
1049116.0260504072,8572457.594590947,,,,,
1049108.7439613277,8572462.831669139,,,,,
1049084.4259204066,8572564.141400471,,,,,
1049053.9022422452,8572589.636319695,,,,,
1049051.2109950392,8572592.511632899,,,,,
1049038.563948786,8572599.771621196,,,,,
1048995.1254661316,8572644.525908869,,,,,
1048982.5079925675,8572643.985829096,,,,,
1048974.8520857843,8572645.64808344,,,,,
1048956.14657242,8572641.777357176,,,,,
1048956.14657242,8572641.777357176,,,,,
1048956.14657242,8572641.777357176,,,,,
1049052.7317025063,8572650.607717652,,,,,
1049123.6100970916,8572680.159305954,,,,,
1049231.6977837316,8572678.505112408,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049264.8977776011,8572685.410789488,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049273.2479172333,8572681.37362202,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049331.5971021734,8572659.445916664,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049370.2521557023,8572649.667873599,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049371.6092463804,8572649.876296524,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049373.389462422,8572649.211199384,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049380.4069251935,8572650.974004816,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049406.219944516,8572664.070760595,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049412.3053967303,8572665.22148512,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049421.4953919626,8572665.676951448,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049486.9504849596,8572651.40935185,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049541.304158656,8572692.597402705,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049562.884065876,8572693.559574308,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049636.2624027876,8572655.880988773,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049636.317868357,8572655.929807741,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049639.2461457574,8572656.739813723,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049662.376715989,8572666.196452403,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049677.9011856064,8572670.28216822,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049737.878025283,8572713.88007742,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049639.9677701266,8572599.437371524,,,,,
1049653.6675827831,8572606.121260341,,,,,
1049658.8832576168,8572650.590256583,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049689.7880624942,8572662.904873779,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049690.982395562,8572663.868634304,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049690.982395562,8572663.868634304,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049690.982395562,8572663.868634304,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049718.0934287938,8572653.782640697,149.0,7.311591516547991,-7.532562547570372,8.818109983611986,-9.341294007475359
1049754.7586540838,8572495.57348663,,,,,
1049756.5538510308,8572495.331183981,,,,,
1049795.4844687376,8572484.05488127,,,,,
1049824.3349337403,8572469.30538304,,,,,
1049829.2257470994,8572456.746915173,,,,,
1049885.99195253,8572401.488364784,,,,,
1049913.6391757487,8572396.04357975,,,,,
1049922.1662666104,8572375.096724793,,,,,
1049930.3114456087,8572363.649021728,,,,,
1049943.0924857922,8572337.967275484,,,,,
1049983.8440016126,8572331.512982793,,,,,
1049983.8440016126,8572331.512982793,,,,,
1049983.8440016126,8572331.512982793,,,,,
1050009.540333449,8572364.501157224,,,,,
1050028.5156221197,8572386.548144227,,,,,
1050029.1139312398,8572386.954461627,,,,,
1050040.346319329,8572394.822010903,,,,,
1050047.9894574005,8572404.8801306,,,,,
1050059.1548890425,8572409.648766495,,,,,
1050102.4242065006,8572424.68280595,,,,,
1050112.286651306,8572429.723476399,,,,,
1050116.3256915745,8572430.715198131,,,,,
1050143.006661113,8572437.593505291,,,,,
1050173.8437256769,8572482.378232699,,,,,
1050214.401204353,8572496.03089229,,,,,
1050225.2233208462,8572500.66130744,,,,,
1050227.889250721,8572501.115870075,,,,,
1050314.0886268476,8572550.824310599,,,,,
1050388.3547848589,8572568.0090775,,,,,
1050409.4293020207,8572582.016761767,,,,,
1050451.317542466,8572611.936057698,,,,,
1050476.6198662564,8572659.287966153,,,,,
1050484.2187403997,8572663.508868728,,,,,
1050505.9770779044,8572670.925532775,,,,,
1050521.5659864626,8572680.757927466,,,,,
1050551.490152689,8572688.032779813,,,,,
1050556.025064104,8572691.608441753,,,,,
1050589.7172890971,8572715.838936811,,,,,
1050589.7172890971,8572715.838936811,,,,,
1050589.7172890971,8572715.838936811,,,,,
1050655.648375107,8572710.431308454,,,,,
1050658.2980069271,8572707.86198261,,,,,
1050701.3001422998,8572626.295926461,,,,,
1050758.644272003,8572608.203336751,,,,,
1050784.8500599314,8572604.884024594,,,,,
1050822.2906330258,8572582.864170043,,,,,
1050824.1935237856,8572581.691981785,,,,,
1050861.7300123454,8572545.476862451,,,,,
1050877.7305848857,8572539.35420672,,,,,
1050907.9247084423,8572537.074059775,,,,,
1050907.9247084423,8572537.074059775,,,,,
1050907.9247084423,8572537.074059775,,,,,
1050891.1819301147,8572542.011944262,,,,,
1050845.4822781135,8572559.631764552,,,,,
1050817.7683566115,8572573.855869927,,,,,
1050805.3627346775,8572578.071564788,,,,,
1050803.1134763109,8572578.547135783,,,,,
1050788.5714483424,8572595.929033283,,,,,
1050748.7620769965,8572606.721641527,,,,,
1050737.0446928004,8572621.730393488,,,,,
1050731.3486076656,8572625.510790406,,,,,
1050630.5547432797,8572700.419825366,,,,,
1050623.4988108336,8572706.820113579,,,,,
1050622.568121041,8572749.411649771,,,,,
1050622.568121041,8572749.411649771,,,,,
1050622.568121041,8572749.411649771,,,,,
1050559.5935705677,8572721.032886896,,,,,
1050556.3228445265,8572710.634814879,,,,,
1050549.149170735,8572691.706307486,,,,,
1050541.6189525165,8572671.66307165,,,,,
1050525.5093675274,8572663.758773962,,,,,
1050503.0383278094,8572636.62045913,,,,,
1050492.6227890474,8572633.957425386,,,,,
1050473.9782593488,8572611.257184044,,,,,
1050472.365036969,8572610.722800545,,,,,
1050452.7501794468,8572595.589418454,,,,,
1050454.127804657,8572596.801836522,,,,,
1050454.75507401,8572595.8380345,,,,,
1050441.8621114418,8572583.13510352,,,,,
1050402.7020712034,8572534.633562801,,,,,
1050378.6262840878,8572516.406947568,,,,,
1050320.2220329454,8572374.713696565,,,,,
1050318.9268027912,8572373.366703505,,,,,
1050275.3616214094,8572371.430796796,,,,,
1050269.609958581,8572370.184491346,,,,,
1050260.068866063,8572364.878271295,,,,,
1050240.112985998,8572329.677837968,,,,,
1050233.642115428,8572318.140883328,,,,,
1050216.1044649044,8572304.586542489,,,,,
1050217.320375875,8572306.539305294,,,,,
1050173.4762650025,8572240.177002463,,,,,
1050158.4746516692,8572225.930919606,,,,,
1050159.4671989973,8572227.901856268,,,,,
1050155.4463754734,8572228.171856418,,,,,
1050132.3317349998,8572224.56340276,,,,,
1050058.7955745542,8572222.710898295,,,,,
1050015.2051065604,8572194.975817928,,,,,
1049989.2205079864,8572174.399916803,,,,,
1049984.441634937,8572170.070756014,,,,,
1049984.441634937,8572170.070756014,,,,,
1049981.7832263317,8572167.85006704,,,,,
1049985.2440025143,8572168.587078836,,,,,
1049987.0709006733,8572165.737981454,,,,,
1049983.7420783674,8572187.265853217,,,,,
1049981.1772324084,8572187.405920535,,,,,
1049979.5486044134,8572184.728781324,,,,,
1049977.494813997,8572185.961652154,,,,,
1049977.2742872084,8572185.102174357,,,,,
1049980.582788373,8572188.455020374,,,,,
1049982.4299144405,8572193.433212224,,,,,
1049987.8147359092,8572194.36002503,,,,,
1049987.5450467383,8572196.619678127,,,,,
1049987.5450467383,8572196.619678127,,,,,
1049953.5903337402,8572218.17100229,,,,,
1049954.4676139266,8572223.653256511,,,,,
1049956.2149999826,8572224.068680216,,,,,
1049953.1616658953,8572221.10143086,,,,,
1049951.607017435,8572218.293509435,,,,,
1049950.9488708456,8572222.910592208,,,,,
1049952.4061171273,8572220.929004999,,,,,
1049960.9157282405,8572217.304338632,,,,,
1049960.0937777322,8572218.251681913,,,,,
1049960.734974811,8572212.481447339,,,,,
1049964.278516765,8572214.156697469,,,,,
1049965.110971614,8572216.184241148,,,,,
1049898.602427572,8572280.82706049,,,,,
1049863.143000587,8572297.849582897,,,,,
1049851.537616434,8572323.458448172,,,,,
1049842.3154582535,8572328.620409742,,,,,
1049838.651053231,8572331.596158193,,,,,
1049829.234852076,8572370.81520563,,,,,
1049769.418013203,8572408.413492933,,,,,
1049769.3015056208,8572408.041300684,,,,,
1049769.286215366,8572407.636864932,,,,,
