lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049237.0,8570925.0,,,,,
1049237.0,8570925.0,,,,,
1049225.100170863,8570953.399185171,,,,,
1049152.8829076297,8571009.63333056,,,,,
1049134.7071758544,8571032.26202562,,,,,
1049115.4029854771,8571043.337861886,,,,,
1049111.201662508,8571045.532954441,,,,,
1049107.6818123818,8571052.105067978,,,,,
1049109.079639353,8571051.277689528,,,,,
1049111.6510258217,8571051.642739676,,,,,
1049111.8071149406,8571051.560072657,,,,,
1049100.4012681614,8571052.181167971,,,,,
1049097.4933635478,8571058.971796261,,,,,
1049102.9959965786,8571057.62681098,,,,,
1049104.536286123,8571055.673765836,,,,,
1049106.4133968845,8571050.98353063,,,,,
1049106.4134803575,8571038.035996934,,,,,
1049105.0596604089,8571038.680556607,,,,,
1049106.5926302243,8571037.935043197,,,,,
1049102.953000296,8571040.668926416,,,,,
1049102.2364679738,8571040.91225479,,,,,
1049101.9836571536,8571041.411559027,,,,,
1049100.1581488373,8571039.283546137,,,,,
1049090.163584441,8571069.22292602,,,,,
1049089.741419134,8571069.717972457,,,,,
1048986.971919393,8571136.634840362,,,,,
1048972.4115275652,8571149.092591306,,,,,
1048905.615050879,8571202.358119352,,,,,
1048859.962173774,8571225.809961189,,,,,
1048842.5379933952,8571260.129081082,,,,,
1048803.655038263,8571293.19935105,,,,,
1048793.4117873667,8571318.216645243,,,,,
1048721.290424117,8571356.587081647,,,,,
1048717.1501925848,8571361.873967381,,,,,
1048710.2005454276,8571375.098353114,,,,,
1048681.5668642004,8571394.99703706,,,,,
1048681.7297727845,8571394.06347396,,,,,
1048676.5835926756,8571394.635310523,,,,,
1048678.044995572,8571398.259507988,,,,,
1048678.0079536517,8571398.261821194,,,,,
1048687.394491871,8571393.403397193,,,,,
1048687.2199966165,8571393.025411587,,,,,
1048628.963833803,8571504.00933907,,,,,
1048603.1517244305,8571530.579063956,,,,,
1048620.40555931,8571578.605289482,,,,,
1048602.4390212477,8571599.024349464,,,,,
1048602.4390212477,8571599.024349464,,,,,
1048597.6719934875,8571602.602232067,,,,,
1048597.914387278,8571603.594288511,,,,,
1048595.482768445,8571602.654394656,,,,,
1048591.8449094254,8571614.24756392,,,,,
1048591.821143007,8571615.385842552,,,,,
1048590.9201268947,8571613.140183128,,,,,
1048589.6153578262,8571612.241093209,,,,,
1048589.6153578262,8571612.241093209,,,,,
1048596.271653861,8571617.271275792,,,,,
1048596.8376744892,8571619.26656726,,,,,
1048621.2966617972,8571644.894748874,,,,,
1048628.891546473,8571673.231532384,,,,,
1048652.1174394935,8571702.56869713,,,,,
1048655.244537806,8571708.46511657,,,,,
1048656.836302135,8571712.907540748,,,,,
1048712.7862251902,8571773.422993936,,,,,
1048720.472038675,8571788.68878356,,,,,
1048779.5340521105,8571900.513808213,,,,,
1048803.6474933068,8571907.562466536,,,,,
