lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049238.0,8570915.0,,,,,
1049238.022564024,8570916.288563643,,,,,
1049228.7105339398,8570918.129368287,,,,,
1049228.7105339398,8570918.129368287,,,,,
1049228.4596672105,8570920.285786059,,,,,
1049232.5812821432,8570919.009306552,,,,,
1049227.8772516912,8570920.740079258,,,,,
1049224.0871560834,8570928.33577778,,,,,
1049224.5041293686,8570927.904449545,,,,,
1049241.0271884163,8570938.747244116,,,,,
1049254.4238112434,8570942.275780523,,,,,
1049259.664263521,8570945.385359656,,,,,
1049269.6694735454,8570943.484426403,,,,,
1049259.3591791675,8570968.116016455,,,,,
1049252.8280072715,8570987.896862501,,,,,
1049250.0338051156,8570992.842131268,,,,,
1049234.6037219046,8571008.991303707,,,,,
1049235.7528497153,8571024.990255782,,,,,
1049232.0908073185,8571034.651826315,,,,,
1049225.7784363283,8571039.627628107,,,,,
1049223.2023348152,8571043.770201266,,,,,
1049221.763543795,8571049.861870944,,,,,
1049220.6188064355,8571051.821125848,,,,,
1049195.8677607311,8571106.923749916,,,,,
1049157.965367842,8571134.432514172,,,,,
1049110.7875668337,8571176.549179599,,,,,
1049103.2038190714,8571186.1468347,,,,,
1049108.2637744946,8571220.918224934,,,,,
1049084.93523929,8571327.214493228,,,,,
1049058.1982738704,8571350.290209306,,,,,
1049049.573977549,8571405.771743583,,,,,
1049047.3463078274,8571435.644027147,,,,,
1049047.9702666122,8571444.5402636,,,,,
1049034.5346187665,8571459.734376876,,,,,
1049034.5346187665,8571459.734376876,,,,,
1049033.8858950965,8571459.907939397,,,,,
1049031.034971913,8571457.66638358,,,,,
1049030.466801179,8571457.285306394,,,,,
1049031.385077082,8571459.685482189,,,,,
1049031.580620761,8571457.253341023,,,,,
1049028.7108451135,8571455.89629792,,,,,
1049026.7570166425,8571459.414277853,,,,,
1049026.7570166425,8571459.414277853,,,,,
1049005.5334099687,8571467.53816584,,,,,
1049002.9633233063,8571469.183132496,,,,,
1048925.752464887,8571621.50203038,,,,,
1048903.557722201,8571629.60501747,,,,,
1048894.525594084,8571636.888691133,,,,,
1048827.1659756887,8571686.721309533,,,,,
1048826.4951544153,8571687.999298953,,,,,
1048828.674859143,8571685.222711667,,,,,
1048765.9440003536,8571733.529111266,,,,,
1048756.886293335,8571757.214195237,,,,,
1048752.6048822328,8571761.266757596,,,,,
1048749.1802938578,8571768.907982996,,,,,
1048748.1479491435,8571771.007135803,,,,,
1048729.9376438186,8571785.91782479,,,,,
1048660.144356624,8571795.966297004,,,,,
1048652.1647404626,8571802.529661883,,,,,
1048641.451533496,8571827.126999184,,,,,
1048636.928596351,8571832.394877099,,,,,
1048591.4538102765,8571851.392124105,,,,,
1048586.1054242926,8571854.008714888,,,,,
1048587.0539946137,8571856.172085343,,,,,
1048590.8499241478,8571853.596647771,,,,,
1048582.4662461698,8571856.479204152,,,,,
1048579.9167949755,8571861.454681916,,,,,
1048575.1276659374,8571866.562686764,,,,,
1048528.1321883452,8571967.837150913,,,,,
1048505.9347518666,8572001.98483431,,,,,
1048479.8068146516,8572000.969198445,,,,,
1048478.3465476264,8572001.663950443,,,,,
1048449.1675445138,8572040.53223131,,,,,
1048433.3861083884,8572041.65321753,,,,,
1048433.3861083884,8572041.65321753,,,,,
1048432.957006966,8572042.040221935,,,,,
1048429.5141615352,8572043.724580742,,,,,
1048431.5028690564,8572043.079265952,,,,,
1048437.730069403,8572049.171484748,,,,,
1048443.050977519,8572043.58679483,,,,,
1048444.9337183972,8572047.732922254,,,,,
1048449.5861838224,8572043.676534014,,,,,
1048450.5030946956,8572039.789446358,,,,,
1048452.6921394984,8572040.87917528,,,,,
1048453.0273795774,8572041.736616394,,,,,
1048453.6202629956,8572039.913718257,,,,,
1048456.908471667,8572041.997035349,,,,,
1048453.268185052,8572039.402430777,,,,,
1048452.7309607848,8572039.886814633,,,,,
1048450.8691726804,8572037.590047047,,,,,
1048450.414223082,8572035.750992423,,,,,
1048443.6797460316,8572039.53879847,,,,,
1048443.6797460316,8572039.53879847,,,,,
1048465.5417702728,8572037.928171132,,,,,
1048509.5815448544,8572035.317919372,,,,,
1048519.0776638854,8572024.620539224,,,,,
1048532.9775453348,8572011.646412348,,,,,
1048568.3195673354,8571992.258400604,,,,,
1048609.3047696408,8571970.799899511,,,,,
1048770.6990897425,8571849.266882574,,,,,
1048772.5511677878,8571848.138550114,,,,,
1048779.1047163869,8571842.771227008,,,,,
1048805.2707682666,8571837.161549415,,,,,
1048846.6602858934,8571802.561319655,,,,,
1048867.8876135875,8571799.42831124,,,,,
1048897.687628944,8571790.915892605,,,,,
1048907.461133845,8571788.797388446,,,,,
1048912.8221537063,8571781.64502339,,,,,
1048948.0166863997,8571764.67768171,,,,,
1049014.3846198774,8571742.290444303,,,,,
1049014.3846198774,8571742.290444303,,,,,
1049014.3846198774,8571742.290444303,,,,,
1049002.7071054534,8571758.871556388,,,,,
1048989.6607024216,8571765.295314528,,,,,
1048970.854428443,8571807.974364258,,,,,
1048955.7573335469,8571810.774575362,,,,,
1048945.4781614826,8571814.3859654,,,,,
1048931.5058234308,8571838.627650136,,,,,
1048887.8615218129,8571847.974678274,,,,,
1048803.9815955816,8571995.29419044,,,,,
1048796.9367233906,8571997.461227255,,,,,
1048743.092963712,8572025.602121636,,,,,
1048704.4399427113,8572032.67554975,,,,,
1048637.5634794228,8572053.32817882,,,,,
1048559.9142395336,8572073.639573835,,,,,
1048524.4014049984,8572090.50176914,,,,,
1048508.8351735652,8572114.539429486,,,,,
1048477.3335760336,8572166.495266734,,,,,
1048413.2688574366,8572191.672670778,,,,,
1048393.5430644968,8572239.074588059,,,,,
1048393.5430644968,8572239.074588059,,,,,
1048393.5430644968,8572239.074588059,,,,,
1048399.6745964972,8572240.720742945,,,,,
1048416.6385067712,8572243.469394324,,,,,
1048442.392369128,8572253.878613185,,,,,
1048459.8887783112,8572265.3248807,,,,,
1048470.6410471208,8572268.601048786,,,,,
1048492.8144262783,8572272.841398386,,,,,
1048507.1398255548,8572287.963382587,,,,,
1048512.678445667,8572298.912953654,,,,,
1048566.2225447006,8572399.127556605,,,,,
1048574.3906864256,8572399.237075113,,,,,
1048617.670943103,8572412.36037321,,,,,
1048731.5693499255,8572463.633902319,,,,,
1048791.2065379417,8572524.546756197,,,,,
