lat,lon,targetID,defender_reward,defender_penalty,attacker_reward,attacker_penalty
1049241.0,8570923.0,,,,,
1049240.3958281537,8570923.663091749,,,,,
1049238.421643534,8570926.112951554,,,,,
1049228.3294994554,8570913.45380202,,,,,
1049228.151212823,8570914.270259075,,,,,
1049222.325842143,8570913.916184122,,,,,
1049221.122651129,8570916.284357913,,,,,
1049220.113773813,8570923.0978687,,,,,
1049219.9955545545,8570921.116079228,,,,,
1049222.0713739365,8570925.068711996,,,,,
1049222.3269390883,8570925.898534514,,,,,
1049220.337517408,8570927.172174478,,,,,
1049218.3840979354,8570923.02173931,,,,,
1049218.605077186,8570921.85405567,,,,,
1049228.9903450403,8570922.303616693,,,,,
1049225.2446947526,8570924.31616284,,,,,
1049225.4410258832,8570919.359322872,,,,,
1049227.3050834818,8570919.749756118,,,,,
1049227.527396968,8570916.937543957,,,,,
1049222.3391753512,8570916.978367344,,,,,
1049222.3391753512,8570916.978367344,,,,,
1049210.9700369986,8570899.759303097,,,,,
1049209.055757759,8570892.13820005,,,,,
1049205.2635125015,8570858.614559736,,,,,
1049197.4612671924,8570845.417852381,,,,,
1049186.623968952,8570818.0070374,,,,,
1049183.1391384916,8570814.188287461,,,,,
1049187.1228258077,8570819.650419407,,,,,
1049186.4372805518,8570819.61287081,,,,,
1049180.3502939448,8570820.86606582,,,,,
1049175.2036703404,8570820.932580354,,,,,
1049173.9183503443,8570820.680483036,,,,,
1049169.0447596938,8570832.814496184,,,,,
1049170.497095619,8570832.762746176,,,,,
1049170.246867786,8570829.218548177,,,,,
1049120.2464824652,8570761.999632394,,,,,
1049050.991723739,8570708.311802452,,,,,
1049050.0117949827,8570699.182649609,,,,,
1049020.1171353715,8570679.657744251,,,,,
1048914.31232027,8570502.09143913,,,,,
1048910.9631228182,8570495.54000571,,,,,
1048910.7161105652,8570495.849529937,,,,,
1048911.8275894634,8570488.09640394,,,,,
1048912.68872169,8570485.713819196,,,,,
1048905.7795501878,8570478.232802887,,,,,
1048899.0933101985,8570465.587471198,,,,,
1048890.9903717788,8570448.386393864,,,,,
1048893.7828759134,8570408.172522636,,,,,
1048891.2356754497,8570361.97981924,,,,,
1048789.3240362622,8570187.53091966,,,,,
1048789.3240362622,8570187.53091966,,,,,
1048789.0847913509,8570187.86218498,,,,,
1048789.0847913509,8570187.86218498,,,,,
1048770.0761022607,8570191.860462708,,,,,
1048767.52708246,8570192.860212546,,,,,
1048642.051916279,8570272.991678465,,,,,
1048625.044222518,8570275.14154665,,,,,
1048606.253482394,8570274.083912037,,,,,
1048472.7174880476,8570278.997468531,,,,,
1048446.2980484912,8570274.590422418,,,,,
1048423.914533372,8570292.080962691,,,,,
1048413.0586353895,8570297.175992046,,,,,
1048363.9770189724,8570310.512005266,,,,,
1048318.1495209554,8570330.626723375,,,,,
1048303.0972062296,8570341.600268638,,,,,
1048235.1369156342,8570337.461229404,,,,,
1048206.9618571986,8570334.90425593,,,,,
1048077.4732697092,8570402.96504251,,,,,
1048021.0555073085,8570461.500593867,,,,,
1048076.1057769686,8570379.35631357,,,,,
1048073.068226858,8570382.142547995,,,,,
1048074.2962694356,8570375.410994424,,,,,
1048075.4122371178,8570372.477285929,,,,,
1048070.5148414436,8570376.007044956,,,,,
1048070.7645359047,8570375.932993663,,,,,
1048074.630970092,8570372.608226942,,,,,
1048080.115669306,8570361.815198885,,,,,
1048080.6481123707,8570362.52708453,,,,,
1048084.5050193364,8570362.566574076,,,,,
1048082.7812218803,8570358.942954239,,,,,
1048078.4276163308,8570359.835174505,,,,,
1048076.7824672068,8570352.05990926,,,,,
1048077.418782108,8570351.920968603,,,,,
1048077.9112589046,8570357.26287775,,,,,
1048078.2126885796,8570359.55356592,,,,,
1048079.0080733526,8570358.964441665,,,,,
1048083.6364342094,8570355.516030375,,,,,
1048081.6183359688,8570350.135890828,,,,,
1048082.1686459274,8570358.590987649,,,,,
1048076.0312585352,8570358.407438878,,,,,
1048076.381761081,8570356.103055865,,,,,
1048077.1993760484,8570357.068589032,,,,,
1048077.3781939996,8570357.104431828,,,,,
1048076.972801332,8570357.669859786,,,,,
1048078.5815467262,8570353.967970124,,,,,
1048075.6516181942,8570356.790214485,,,,,
1048075.0401864776,8570355.456658762,,,,,
1048053.7599707296,8570367.928533098,,,,,
1048052.9313308724,8570369.015736064,,,,,
1048045.1812563312,8570376.63230816,,,,,
1048017.3073438826,8570421.257794613,,,,,
1048017.3073438826,8570421.257794613,,,,,
1048017.3073438826,8570421.257794613,,,,,
1048044.0504002668,8570391.887940962,,,,,
1048060.7251136808,8570381.229148239,,,,,
1048175.9808401284,8570269.624049611,,,,,
1048109.7478249678,8570306.798733799,,,,,
1048109.7478249678,8570306.798733799,,,,,
1048109.7478249678,8570306.798733799,,,,,
1048073.6121912594,8570321.36140348,,,,,
1047945.4471109114,8570307.092264185,,,,,
1047916.4135470712,8570313.409903023,,,,,
1047896.0079486672,8570321.00632926,,,,,
1047883.3671816278,8570318.13807923,,,,,
1047860.0847850938,8570309.60515681,,,,,
1047842.0420092526,8570312.348023966,,,,,
1047822.6774976344,8570316.540648257,,,,,
1047760.9949344696,8570294.35178286,,,,,
1047522.3414399588,8570322.993721738,,,,,
1047511.3842942992,8570336.244846947,,,,,
1047450.1478801616,8570343.25325537,,,,,
1047428.1026366472,8570355.838217583,,,,,
1047417.5849395602,8570358.95881892,,,,,
1047399.6883712444,8570372.703880074,,,,,
1047399.6883712444,8570372.703880074,,,,,
1047399.6883712444,8570372.703880074,,,,,
1047376.4379096664,8570312.044193786,,,,,
1047366.2741525772,8570296.218990944,,,,,
1047339.816655298,8570223.46104109,,,,,
1047325.6935300464,8570173.897239907,,,,,
1047316.424920675,8570167.334376026,,,,,
1047308.2896283166,8570155.750921838,,,,,
1047282.7328367168,8570101.603882039,,,,,
1047250.7906587726,8570064.314508734,,,,,
1047254.3963732688,8570036.994929109,,,,,
1047254.6108766284,8570031.112572005,,,,,
1047244.1590888104,8570024.278641768,,,,,
1047230.0320888676,8569982.55816175,,,,,
1047228.333680222,8569919.30549592,,,,,
1047224.2202305146,8569922.423061503,,,,,
1047224.2202305146,8569922.423061503,,,,,
1047224.2202305146,8569922.423061503,,,,,
1047217.2171030488,8569921.545360696,,,,,
1047146.471839626,8569861.370140659,,,,,
1047135.2504865626,8569858.560882075,,,,,
1047123.4584429944,8569857.76854073,,,,,
1047066.4039107644,8569860.006628929,,,,,
1047062.4617122542,8569858.025823101,,,,,
1047058.6007202056,8569856.704041542,,,,,
1047018.3502753248,8569849.143948546,,,,,
1047009.723032198,8569845.331319265,,,,,
1046929.6143456952,8569811.902400438,,,,,
1046847.5724122304,8569813.637515394,,,,,
1046840.4804938488,8569815.224157622,,,,,
1046790.2334006134,8569791.624844214,,,,,
1046786.6395992594,8569792.726817727,,,,,
1046777.388429173,8569794.425374568,,,,,
1046767.965277084,8569786.483078655,,,,,
1046697.897326182,8569776.005249258,,,,,
1046697.897326182,8569776.005249258,,,,,
1046697.897326182,8569776.005249258,,,,,
1046740.0784557676,8569790.248060016,,,,,
1046810.691618613,8569796.87473115,,,,,
1046815.1212233802,8569800.794560913,,,,,
1046822.5889059992,8569804.694334611,,,,,
1046843.8079008504,8569810.909404164,,,,,
1046856.881562189,8569813.744423179,,,,,
1046912.3502909746,8569839.06805107,,,,,
1046913.9128020736,8569839.59924684,,,,,
1046926.9032531952,8569853.031866377,,,,,
1046951.0230097092,8569881.12050348,,,,,
1046985.3382759792,8569900.859604597,,,,,
1047017.7470524876,8569922.691534614,,,,,
1047040.8397125656,8569987.704069441,,,,,
1047041.7701585172,8569988.322171392,,,,,
1047061.910701573,8569995.338416934,,,,,
1047123.9865895698,8570027.310063705,,,,,
1047157.8029788864,8570111.764555668,,,,,
1047180.1567914404,8570120.753898278,,,,,
1047198.8506394712,8570117.1820794,,,,,
1047198.8506394712,8570117.1820794,,,,,
1047198.8506394712,8570117.1820794,,,,,
1047170.2723048204,8570160.239562698,,,,,
1047147.3196987588,8570183.004101554,,,,,
1047142.6083823702,8570194.853687396,,,,,
1047133.8491584487,8570201.150431924,,,,,
1047122.8037958484,8570208.253250131,,,,,
1046994.7229815344,8570254.18727411,,,,,
1046984.0068000169,8570280.112635266,,,,,
1046951.0403680118,8570342.907651823,,,,,
1046944.5082993064,8570362.54213428,,,,,
1046867.3491850516,8570434.149609387,,,,,
1046866.1377637552,8570434.92917958,,,,,
1046819.3897119978,8570511.059729205,,,,,
1046797.797657762,8570524.277407669,,,,,
1046710.2038918104,8570683.324724568,,,,,
1046749.784665031,8570634.380660845,,,,,
1046749.784665031,8570634.380660845,,,,,
1046749.784665031,8570634.380660845,,,,,
1046747.062671604,8570627.069748066,,,,,
1046758.2006190474,8570590.052551042,,,,,
1046760.2892675768,8570573.637958739,,,,,
1046764.238450845,8570484.943833461,,,,,
1046766.5691510958,8570466.322095804,,,,,
1046725.1330933796,8570398.990721904,,,,,
1046726.8626345492,8570384.163858688,,,,,
1046720.532257576,8570362.492244774,,,,,
1046710.2501682352,8570323.815354895,,,,,
1046696.0067434576,8570296.832972094,,,,,
1046692.7856987471,8570292.550926311,,,,,
1046693.4364760588,8570269.6690365,,,,,
1046686.1092851082,8570250.818482993,,,,,
1046685.0790442056,8570247.763468636,,,,,
1046684.9442039726,8570228.130724795,,,,,
1046690.3070565612,8570196.87999797,,,,,
1046609.3302538109,8570071.73306869,,,,,
1046621.6455841548,8570082.921682091,,,,,
1046651.634943077,8570206.081324797,,,,,
1046690.0619120628,8570121.95175041,,,,,
1046690.0619120628,8570121.95175041,,,,,
1046690.0619120628,8570121.95175041,,,,,
1046695.5504142316,8570122.193900673,,,,,
1046698.9921987926,8570119.807096656,,,,,
1046763.9125262874,8570098.550662309,,,,,
1046773.2670859366,8570099.17172463,,,,,
