,Unnamed: 0,reward_estimate
134,134,18.297735708317155
137,137,9.22934562484976
147,147,5.959934403451183
86,86,5.03404925934052
94,86,5.03404925934052
144,144,2.673316895081625
53,53,0.9140770408746516
148,148,0.7186511575289823
138,138,8.4089946496175878
47,47,10.3776696746202502
78,78,0.341611565110273
73,73,0.2693236194622851
170,170,0.1658618990585496
146,146,0.0973396407419787
7,7,0.0926161914573223
92,92,0.0908685787382845
12,12,0.0907273859872515
157,157,0.0902476477450109
40,40,0.0894462320550527
90,90,0.0884228111868228
97,97,0.0859876022297008
124,124,0.0859221382432085
118,118,0.0853988995446669
63,63,0.0826168395041057
96,96,0.0818173209919841
83,83,0.0810314196865008
99,99,0.0809431737837623
173,173,0.0807168360787386
64,64,0.0795237168699175
51,51,0.0785311426813057
14,14,0.0754929723505605
161,161,0.0751762964688391
176,176,0.0751426015541527
56,56,0.0751119412136758
32,32,0.0749827072323298
11,11,0.0744010468008843
57,57,0.0738042286530262
143,143,0.0729975194571268
29,29,0.0721896624781747
140,140,0.0719508522571125
122,122,0.0710824782576872
19,19,0.0704664921603194
172,172,0.0699298997261824
101,101,0.0697807124636003
100,100,0.0692623096236275
102,102,0.0688234676567021
155,155,0.0685693684648652
136,136,0.0678660484246199
4,4,0.0676264092990063
169,169,0.066852481921199
105,105,0.066647951646135
163,163,0.0666401466885583
108,108,0.0660099378670705
106,106,0.0657064013658725
84,84,0.0655912624263615
85,85,0.0646273846417091
104,104,0.0633722588028237
156,156,0.0628213028107196
142,142,0.0626179082582919
181,181,0.0623475690440761
151,151,0.0621263473404565
69,69,0.0620776837101861
41,41,0.061304988567636
72,72,0.060829803865565
93,93,0.0607419008017342
3,3,0.0606252744898085
81,81,0.0598744614491088
182,182,0.0593985699059219
76,76,0.0593111669294721
103,103,0.0589027144546345
152,152,0.0588996719879098
35,35,0.0574114064606558
1,1,0.0573820356539664
135,135,0.0566189709605194
179,179,0.0561422020523782
68,68,0.0557916126499416
59,59,0.0556221321821778
26,26,0.0555064749560475
185,185,0.0550631776426136
112,112,0.055037287466717
184,184,0.0548385306292615
82,82,0.0548090118183313
50,50,0.0547134173954685
131,131,0.0537535044274787
22,22,0.0537523772797879
13,13,0.0537384133180924
44,44,0.0531980238180473
128,128,0.05248119121974
183,183,0.0523030882861043
80,80,0.0519788467836074
2,2,0.0516751658331296
20,20,0.0515692006183733
38,38,0.0510855813419206
33,33,0.0506438984244139
145,145,0.0506179023176708
89,89,0.0502274176701906
126,126,0.0501266211494729
162,162,0.0500627070112743
109,109,0.0497554134938129
27,27,0.0495220691089978
175,175,0.0491956309432981
114,114,0.0488599509263652
18,18,0.0487349358471219
24,24,0.0480095017014904
61,61,0.0479943114348158
88,88,0.0474530073377995
8,8,0.0470862780602683
79,79,0.0466652538666874
49,49,0.0462388462540607
39,39,0.0462293199149821
65,65,0.0460773363283052
60,60,0.0460226363471896
21,21,0.0459799720810109
119,119,0.0457667673209465
71,71,0.0457313668183692
46,46,0.0451490247678468
28,28,0.0444950489772864
15,15,0.0435443834354851
149,149,0.0433038344203181
17,17,0.0432756044049006
168,168,0.0431128474113488
91,91,0.0423609417255037
66,66,0.0421987806740319
23,23,0.0417343392876689
0,0,0.0416084288926551
110,110,0.0412727662536527
125,125,0.0409151927963315
58,58,0.0400205678569808
74,74,0.0398146396047459
10,10,0.0391160804290984
75,75,0.0390555412624342
67,67,0.038753701638131
123,123,0.0376780854453272
6,6,0.0374932207986606
34,34,0.0366771144011745
87,87,0.0366519385737351
154,154,0.0359324034820427
111,111,0.0355402001500374
52,52,0.0351265327569926
48,48,0.0343158458047683
160,160,0.0329219525282848
107,107,0.0318019628041394
25,25,0.0315171486000671
30,30,0.0311519360627658
77,77,0.0311321735493128
139,139,0.0310121713549867
115,115,0.0282676358900904
127,127,0.0278241658417479
130,130,0.0276603949780976
45,45,0.0275061452882087
5,5,0.0274500019555843
70,70,0.0273866985709272
113,113,0.0273054127965107
159,159,0.026550044695716
42,42,0.0264513813481344
165,165,0.0254473948442526
98,98,0.0254318767245396
55,55,0.0253139266893654
31,31,0.0246295736451292
36,36,0.0242949189774273
166,166,0.0242663868229686
117,117,0.0239819148335367
174,174,0.023418454753312
129,129,0.0227077077707926
141,141,0.0226218556037491
133,133,0.0223978059788734
37,37,0.0223256259223986
171,171,0.0219830701316569
177,177,0.0206894438632492
116,116,0.0204420513770583
121,121,0.0200200792415039
62,62,0.0192026947333105
178,178,0.0187066475153149
132,132,0.0186238139365051
167,167,0.0183600669358267
150,150,0.0178381702492867
164,164,0.0142953954022005
158,158,0.0140191596797224
9,9,0.0136689001689523
54,54,0.0124666754857047
43,43,0.0120832612267795
95,95,0.0115580968289193
153,153,0.0102175302956129
120,120,0.0090718093152596
180,180,0.0086337461436579
16,16,0.0079944445473516
